x1,y1,z1,x2,y2,z2
6.630,-4.450,57.994,5.584,-4.706,57.918
0.667,-4.737,63.817,-0.444,-4.964,63.797
3.902,-4.503,60.290,2.877,-4.795,60.194
3.946,-4.043,54.435,2.943,-4.288,54.429
4.070,-4.238,59.065,3.054,-4.529,58.880
3.319,-4.186,57.089,2.226,-4.444,56.961
2.888,-4.218,57.551,1.903,-4.487,57.351
-3.523,-4.360,62.060,-4.616,-4.580,62.021
6.090,-4.146,57.234,4.990,-4.411,57.170
7.039,-3.937,55.760,6.005,-4.105,55.659
6.334,-3.956,54.713,5.287,-4.162,54.549
5.213,-4.184,58.025,4.161,-4.503,58.038
4.049,-3.885,55.869,2.944,-4.172,55.725
0.289,-4.487,64.345,-0.807,-4.696,64.292
2.956,-4.405,63.144,1.962,-4.632,63.056
6.538,-4.031,57.168,5.516,-4.241,57.037
-1.499,-4.244,63.666,-2.609,-4.436,63.638
-1.930,-4.265,63.067,-3.039,-4.452,63.011
2.086,-4.319,65.829,0.950,-4.603,65.621
3.255,-4.050,61.286,2.241,-4.332,61.161
-0.301,-3.887,59.633,-1.360,-4.170,59.497
4.641,-3.749,57.089,3.594,-4.039,57.001
5.014,-3.792,58.082,3.980,-4.089,57.943
0.356,-3.766,58.482,-0.717,-4.032,58.391
-3.191,-3.798,61.239,-4.322,-3.979,61.221
-1.760,-3.868,61.746,-2.872,-4.065,61.653
6.071,-3.581,56.643,5.080,-3.813,56.491
3.971,-3.682,59.113,2.992,-3.916,59.104
-3.566,-3.810,62.895,-4.671,-3.931,62.789
2.135,-3.447,56.565,1.078,-3.640,56.396
-1.901,-3.779,63.785,-3.037,-3.946,63.789
-2.497,-3.576,61.841,-3.630,-3.745,61.823
2.912,-3.759,63.196,1.828,-4.016,63.238
-0.801,-3.712,63.026,-1.934,-3.882,62.963
5.848,-3.533,59.024,4.818,-3.847,58.964
4.357,-3.622,61.651,3.310,-3.913,61.530
-1.522,-3.500,63.324,-2.579,-3.696,63.271
0.310,-3.358,60.939,-0.719,-3.745,60.839
6.448,-3.466,62.096,5.372,-3.683,61.855
3.949,-3.312,60.873,2.881,-3.537,60.780
-3.814,-3.474,64.914,-4.955,-3.625,64.879
0.167,-3.315,62.680,-0.907,-3.583,62.647
2.824,-3.322,62.238,1.735,-3.535,62.137
-0.058,-3.111,58.887,-1.053,-3.428,58.791
-3.705,-3.298,64.320,-4.827,-3.441,64.249
4.548,-3.174,59.991,3.577,-3.449,59.911
5.461,-3.125,58.738,4.472,-3.472,58.715
5.201,-2.954,58.020,4.144,-3.275,57.944
4.694,-2.807,56.800,3.643,-3.127,56.801
7.457,-2.940,55.247,6.397,-3.160,55.187
